πομπή	conduct	16	0.31	1	0.26	5	1.18
κοῖλος	hollow	15	0.29	0	0	2	0.47
ἀμύνω	to keep off	15	0.29	2	0.53	1	0.23
πῶς	how? in what way	15	0.29	0	0	1	0.23
πλείων	more	15	0.29	0	0	1	0.23
Παλλάς	Pallas	15	0.29	1	0.26	1	0.23
Νέστωρ	Nestor	15	0.29	1	0.26	0	0.23
ἐπιτέλλω	to lay upon	15	0.29	1	0.26	1	0.23
διογενής	sprung from Zeus	15	0.29	0	0	1	0.23
ποιέω	to make	15	0.29	2	0.53	2	0.47
κάρα	the head	15	0.29	1	0.26	0	0.47
χιτών	the garment worn next the skin	15	0.29	0	0	4	0.94
πυκνός	close	15	0.29	1	0.26	0	0.94
ἄγχι	near	15	0.29	1	0.26	3	0.71
τέμνω	to cut	15	0.29	1	0.26	0	0.71
θαλερός	blooming	15	0.29	2	0.53	1	0.23
κλέος	a rumour	15	0.29	1	0.26	3	0.71
ἐρίηρος	fitting exactly	15	0.29	0	0	2	0.47
πῆμα	suffering	15	0.29	1	0.26	2	0.47
